source,destination,t,this.sim
Chongqing,JFK,2020-01-30,1
Hubei,JFK,2020-01-14,1
Hubei,JFK,2020-01-18,1
Hubei,JFK,2020-01-21,1
ARE,JFK,2020-02-17,1
AUT,JFK,2020-02-22,1
AUT,JFK,2020-02-28,1
CA,EWR,2020-02-24,1
CA,EWR,2020-02-28,1
CA,JFK,2020-02-27,1
CHE,JFK,2020-02-22,1
CHE,JFK,2020-02-26,1
DEU,EWR,2020-02-24,1
DEU,JFK,2020-02-18,1
IRL,BDL,2020-02-27,1
ISL,BUF,2020-02-24,1
ISL,EWR,2020-02-25,1
ISR,EWR,2020-02-28,1
ITA,EWR,2020-02-26,2
ITA,JFK,2020-02-10,1
ITA,JFK,2020-02-16,1
ITA,JFK,2020-02-17,1
ITA,JFK,2020-02-25,1
ITA,ROC,2020-02-22,1
KOR,JFK,2020-02-16,1
KOR,JFK,2020-02-24,1
LA,EWR,2020-02-28,1
MA,EWR,2020-02-28,2
NLD,SWF,2020-02-25,1
SWE,EWR,2020-02-28,1
SWE,JFK,2020-02-28,1
WA,BUF,2020-02-27,1
AK,LGA,2020-03-16,1
AL,EWR,2020-03-31,1
AL,LGA,2020-03-20,1
AL,LGA,2020-03-22,1
AR,EWR,2020-03-15,1
AR,LGA,2020-03-11,1
ARE,JFK,2020-03-04,1
AUT,EWR,2020-03-07,1
AUT,JFK,2020-03-07,1
AZ,BDL,2020-03-14,1
AZ,BUF,2020-03-28,1
AZ,EWR,2020-03-11,1
AZ,EWR,2020-03-18,3
AZ,EWR,2020-03-19,1
AZ,EWR,2020-03-20,1
AZ,EWR,2020-03-30,1
AZ,JFK,2020-03-12,1
AZ,JFK,2020-03-19,2
AZ,JFK,2020-03-23,1
AZ,JFK,2020-03-31,1
AZ,LGA,2020-03-21,1
AZ,SYR,2020-03-17,1
BEL,JFK,2020-03-13,1
CA,ALB,2020-03-15,1
CA,ALB,2020-03-21,1
CA,ALB,2020-03-23,1
CA,BDL,2020-03-12,1
CA,BUF,2020-03-06,1
CA,BUF,2020-03-23,1
CA,EWR,2020-03-04,1
CA,EWR,2020-03-06,1
CA,EWR,2020-03-13,2
CA,EWR,2020-03-14,2
CA,EWR,2020-03-15,1
CA,EWR,2020-03-17,5
CA,EWR,2020-03-19,2
CA,EWR,2020-03-22,2
CA,EWR,2020-03-23,2
CA,EWR,2020-03-24,1
CA,EWR,2020-03-25,1
CA,EWR,2020-03-29,10
CA,EWR,2020-03-30,1
CA,JFK,2020-03-01,2
CA,JFK,2020-03-05,8
CA,JFK,2020-03-06,2
CA,JFK,2020-03-08,5
CA,JFK,2020-03-12,1
CA,JFK,2020-03-15,2
CA,JFK,2020-03-18,3
CA,JFK,2020-03-19,3
CA,JFK,2020-03-22,1
CA,JFK,2020-03-23,3
CA,JFK,2020-03-26,8
CA,JFK,2020-03-28,1
CA,LGA,2020-03-15,3
CA,LGA,2020-03-31,1
CA,ROC,2020-03-26,2
CAN,EWR,2020-03-08,1
CAN,EWR,2020-03-19,1
CAN,EWR,2020-03-21,2
CAN,JFK,2020-03-27,2
CAN,JFK,2020-03-31,1
CAN,LGA,2020-03-05,1
CAN,LGA,2020-03-23,1
CAN,LGA,2020-03-25,1
CAN,LGA,2020-03-30,2
CAN,LGA,2020-03-31,1
CHE,EWR,2020-03-01,2
CHE,EWR,2020-03-08,3
CHE,EWR,2020-03-17,1
CHE,EWR,2020-03-19,1
CHE,JFK,2020-03-05,3
CHE,JFK,2020-03-07,1
CHE,JFK,2020-03-09,1
CHE,JFK,2020-03-12,1
CO,BUF,2020-03-10,1
CO,EWR,2020-03-10,1
CO,EWR,2020-03-11,1
CO,EWR,2020-03-13,1
CO,EWR,2020-03-19,2
CO,EWR,2020-03-21,7
CO,EWR,2020-03-24,1
CO,EWR,2020-03-30,1
CO,JFK,2020-03-13,1
CO,JFK,2020-03-16,1
CO,JFK,2020-03-17,2
CO,JFK,2020-03-24,1
CO,JFK,2020-03-25,1
CO,JFK,2020-03-31,3
CO,LGA,2020-03-06,4
CO,LGA,2020-03-10,1
CO,LGA,2020-03-11,8
CO,LGA,2020-03-12,3
CO,LGA,2020-03-14,2
CO,LGA,2020-03-15,1
CO,LGA,2020-03-16,2
CO,LGA,2020-03-30,2
CT,BUF,2020-03-18,2
CT,BUF,2020-03-20,1
CT,BUF,2020-03-31,1
CT,EWR,2020-03-27,1
CT,FOK,2020-03-17,1
CT,HTO,2020-03-21,2
CT,PCT,2020-03-14,1
CT,PCT,2020-03-28,2
CT,TEB,2020-03-13,1
CT,TEB,2020-03-20,1
CT,TEB,2020-03-21,2
CT,TTN,2020-03-14,1
CT,TTN,2020-03-23,1
CT,WSH,2020-03-21,1
DC,BDL,2020-03-06,1
DC,BDL,2020-03-17,2
DC,BDL,2020-03-23,1
DC,BDL,2020-03-29,4
DC,BUF,2020-03-23,1
DC,BUF,2020-03-24,1
DC,BUF,2020-03-26,1
DC,BUF,2020-03-30,1
DC,EWR,2020-03-09,1
DC,EWR,2020-03-14,1
DC,EWR,2020-03-18,2
DC,EWR,2020-03-24,1
DC,EWR,2020-03-28,1
DC,FID,2020-03-20,1
DC,FID,2020-03-22,1
DC,HPN,2020-03-11,1
DC,HPN,2020-03-25,1
DC,JFK,2020-03-06,2
DC,JFK,2020-03-08,2
DC,JFK,2020-03-16,3
DC,JFK,2020-03-30,4
DC,LGA,2020-03-11,1
DC,LGA,2020-03-14,1
DC,LGA,2020-03-15,5
DC,LGA,2020-03-17,1
DC,LGA,2020-03-18,9
DC,LGA,2020-03-19,2
DC,LGA,2020-03-20,4
DC,LGA,2020-03-21,4
DC,LGA,2020-03-30,1
DC,ROC,2020-03-13,1
DC,ROC,2020-03-26,1
DC,ROC,2020-03-31,1
DC,SYR,2020-03-26,1
DC,SYR,2020-03-28,1
DC,TEB,2020-03-22,1
DE,HPN,2020-03-14,1
DEU,EWR,2020-03-08,3
DEU,EWR,2020-03-10,1
DEU,EWR,2020-03-16,1
DEU,JFK,2020-03-06,1
DEU,JFK,2020-03-07,1
DEU,JFK,2020-03-09,2
DNK,EWR,2020-03-15,1
DNK,JFK,2020-03-17,1
DNK,JFK,2020-03-27,1
DNK,JFK,2020-03-29,1
DOM,JFK,2020-03-16,1
DOM,JFK,2020-03-18,1
DOM,JFK,2020-03-19,1
DOM,JFK,2020-03-26,1
DOM,JFK,2020-03-30,1
ECU,JFK,2020-03-15,1
ESP,EWR,2020-03-08,1
ESP,EWR,2020-03-24,1
ESP,EWR,2020-03-27,1
ESP,JFK,2020-03-01,1
ESP,JFK,2020-03-05,1
ESP,JFK,2020-03-07,2
ESP,JFK,2020-03-09,1
ESP,JFK,2020-03-15,1
ESP,JFK,2020-03-28,1
FL,ACY,2020-03-12,1
FL,ACY,2020-03-16,1
FL,ACY,2020-03-21,2
FL,ACY,2020-03-23,6
FL,ALB,2020-03-10,1
FL,ALB,2020-03-19,3
FL,ALB,2020-03-23,1
FL,BDL,2020-03-08,1
FL,BDL,2020-03-09,1
FL,BDL,2020-03-10,1
FL,BDL,2020-03-16,1
FL,BDL,2020-03-17,11
FL,BDL,2020-03-19,5
FL,BDL,2020-03-21,1
FL,BDL,2020-03-22,1
FL,BDL,2020-03-23,1
FL,BDL,2020-03-30,2
FL,BUF,2020-03-10,7
FL,BUF,2020-03-16,1
FL,BUF,2020-03-17,2
FL,BUF,2020-03-22,2
FL,BUF,2020-03-23,2
FL,ELM,2020-03-09,1
FL,EWR,2020-03-06,1
FL,EWR,2020-03-07,4
FL,EWR,2020-03-08,7
FL,EWR,2020-03-11,1
FL,EWR,2020-03-13,17
FL,EWR,2020-03-15,6
FL,EWR,2020-03-16,1
FL,EWR,2020-03-17,6
FL,EWR,2020-03-19,1
FL,EWR,2020-03-20,4
FL,EWR,2020-03-23,2
FL,EWR,2020-03-25,4
FL,EWR,2020-03-28,16
FL,HPN,2020-03-06,1
FL,HPN,2020-03-11,1
FL,HPN,2020-03-19,1
FL,HPN,2020-03-31,2
FL,IAG,2020-03-08,1
FL,IAG,2020-03-18,5
FL,ISP,2020-03-08,3
FL,ISP,2020-03-10,1
FL,ISP,2020-03-15,2
FL,ISP,2020-03-16,1
FL,ISP,2020-03-18,1
FL,ISP,2020-03-19,2
FL,ISP,2020-03-29,3
FL,JFK,2020-03-03,1
FL,JFK,2020-03-06,6
FL,JFK,2020-03-07,3
FL,JFK,2020-03-11,1
FL,JFK,2020-03-12,1
FL,JFK,2020-03-13,1
FL,JFK,2020-03-15,4
FL,JFK,2020-03-17,23
FL,JFK,2020-03-18,6
FL,JFK,2020-03-20,10
FL,JFK,2020-03-21,3
FL,JFK,2020-03-22,1
FL,JFK,2020-03-23,2
FL,JFK,2020-03-24,7
FL,JFK,2020-03-25,2
FL,JFK,2020-03-28,3
FL,JFK,2020-03-31,2
FL,JHW,2020-03-15,1
FL,LGA,2020-03-02,2
FL,LGA,2020-03-03,1
FL,LGA,2020-03-04,1
FL,LGA,2020-03-08,2
FL,LGA,2020-03-09,3
FL,LGA,2020-03-11,7
FL,LGA,2020-03-12,1
FL,LGA,2020-03-16,2
FL,LGA,2020-03-17,7
FL,LGA,2020-03-18,1
FL,LGA,2020-03-22,1
FL,LGA,2020-03-23,4
FL,LGA,2020-03-25,3
FL,LGA,2020-03-26,3
FL,LGA,2020-03-27,3
FL,LGA,2020-03-30,2
FL,PBG,2020-03-10,1
FL,PBG,2020-03-18,2
FL,PBG,2020-03-20,1
FL,PBG,2020-03-21,1
FL,PBG,2020-03-24,3
FL,PBG,2020-03-25,1
FL,ROC,2020-03-22,1
FL,ROC,2020-03-26,2
FL,ROC,2020-03-30,1
FL,SWF,2020-03-20,1
FL,SWF,2020-03-22,1
FL,SYR,2020-03-17,1
FL,SYR,2020-03-18,3
FL,SYR,2020-03-19,1
FL,SYR,2020-03-27,1
FL,TTN,2020-03-18,1
FL,TTN,2020-03-25,1
FL,TTN,2020-03-27,1
FL,TTN,2020-03-29,1
FRA,EWR,2020-03-01,1
FRA,EWR,2020-03-08,3
FRA,EWR,2020-03-15,1
FRA,EWR,2020-03-21,1
FRA,EWR,2020-03-24,1
FRA,EWR,2020-03-27,3
FRA,JFK,2020-03-06,2
FRA,JFK,2020-03-07,1
FRA,JFK,2020-03-10,2
FRA,JFK,2020-03-16,1
FRA,JFK,2020-03-21,1
FRA,JFK,2020-03-25,1
FRA,LGA,2020-03-24,1
GA,ALB,2020-03-07,1
GA,BDL,2020-03-20,1
GA,BUF,2020-03-17,1
GA,BUF,2020-03-21,1
GA,EWR,2020-03-07,1
GA,EWR,2020-03-08,5
GA,EWR,2020-03-14,1
GA,EWR,2020-03-18,2
GA,EWR,2020-03-22,1
GA,EWR,2020-03-23,3
GA,EWR,2020-03-25,1
GA,HPN,2020-03-06,1
GA,HPN,2020-03-20,2
GA,HPN,2020-03-24,1
GA,JFK,2020-03-16,9
GA,JFK,2020-03-17,2
GA,JFK,2020-03-20,1
GA,LGA,2020-03-02,1
GA,LGA,2020-03-09,1
GA,LGA,2020-03-12,3
GA,LGA,2020-03-14,1
GA,LGA,2020-03-15,17
GA,LGA,2020-03-16,7
GA,LGA,2020-03-21,1
GA,LGA,2020-03-22,4
GA,LGA,2020-03-24,2
GA,LGA,2020-03-25,2
GA,LGA,2020-03-28,1
GA,LGA,2020-03-30,2
GA,SYR,2020-03-31,1
GBR,EWR,2020-03-15,1
GBR,EWR,2020-03-22,1
GBR,EWR,2020-03-31,1
GBR,JFK,2020-03-01,1
GBR,JFK,2020-03-12,1
GBR,JFK,2020-03-24,1
GBR,JFK,2020-03-28,2
HI,JFK,2020-03-11,1
HI,JFK,2020-03-13,1
IA,BDL,2020-03-10,1
IA,LGA,2020-03-08,1
IA,LGA,2020-03-20,1
ID,LGA,2020-03-28,1
IL,ALB,2020-03-08,1
IL,ALB,2020-03-12,2
IL,ALB,2020-03-18,1
IL,ALB,2020-03-28,1
IL,BDL,2020-03-15,4
IL,BDL,2020-03-21,1
IL,BDL,2020-03-25,1
IL,BDL,2020-03-31,1
IL,BUF,2020-03-10,1
IL,BUF,2020-03-11,2
IL,BUF,2020-03-17,1
IL,BUF,2020-03-25,1
IL,EWR,2020-03-05,1
IL,EWR,2020-03-09,1
IL,EWR,2020-03-10,4
IL,EWR,2020-03-11,1
IL,EWR,2020-03-12,1
IL,EWR,2020-03-13,1
IL,EWR,2020-03-15,1
IL,EWR,2020-03-17,17
IL,EWR,2020-03-21,2
IL,EWR,2020-03-22,2
IL,EWR,2020-03-24,3
IL,EWR,2020-03-27,3
IL,EWR,2020-03-29,1
IL,HPN,2020-03-09,1
IL,HPN,2020-03-25,1
IL,ISP,2020-03-14,1
IL,ISP,2020-03-17,3
IL,ISP,2020-03-25,2
IL,JFK,2020-03-08,1
IL,JFK,2020-03-14,1
IL,JFK,2020-03-16,4
IL,JFK,2020-03-19,2
IL,JFK,2020-03-21,1
IL,JFK,2020-03-26,1
IL,JFK,2020-03-31,1
IL,LGA,2020-03-02,1
IL,LGA,2020-03-03,2
IL,LGA,2020-03-06,3
IL,LGA,2020-03-07,3
IL,LGA,2020-03-08,2
IL,LGA,2020-03-09,1
IL,LGA,2020-03-11,2
IL,LGA,2020-03-14,12
IL,LGA,2020-03-18,1
IL,LGA,2020-03-20,2
IL,LGA,2020-03-21,4
IL,LGA,2020-03-22,6
IL,LGA,2020-03-23,3
IL,LGA,2020-03-25,5
IL,LGA,2020-03-26,2
IL,LGA,2020-03-27,7
IL,LGA,2020-03-29,1
IL,LGA,2020-03-30,1
IL,ROC,2020-03-15,1
IL,SYR,2020-03-19,1
IN,BDL,2020-03-23,1
IN,EWR,2020-03-12,1
IN,EWR,2020-03-16,1
IN,EWR,2020-03-18,1
IN,LGA,2020-03-22,1
IRL,BDL,2020-03-31,1
IRL,EWR,2020-03-13,1
IRL,EWR,2020-03-25,1
IRL,JFK,2020-03-08,1
IRL,JFK,2020-03-10,1
ISL,EWR,2020-03-02,1
ISL,EWR,2020-03-09,1
ISL,EWR,2020-03-11,1
ISL,JFK,2020-03-01,2
ISL,JFK,2020-03-26,1
ISR,EWR,2020-03-01,1
ISR,EWR,2020-03-13,1
ISR,EWR,2020-03-24,1
ISR,JFK,2020-03-15,1
ISR,JFK,2020-03-24,1
ISR,JFK,2020-03-31,2
ITA,EWR,2020-03-01,1
ITA,EWR,2020-03-08,1
ITA,EWR,2020-03-21,1
ITA,JFK,2020-03-03,1
ITA,JFK,2020-03-05,5
ITA,JFK,2020-03-08,1
ITA,JFK,2020-03-09,1
ITA,JFK,2020-03-10,2
ITA,JFK,2020-03-15,2
ITA,JFK,2020-03-16,2
ITA,JFK,2020-03-26,1
KY,BUF,2020-03-17,1
KY,EWR,2020-03-15,1
KY,HPN,2020-03-16,1
KY,LGA,2020-03-13,1
KY,LGA,2020-03-17,1
KY,LGA,2020-03-23,1
LA,ALB,2020-03-14,1
LA,ALB,2020-03-31,1
LA,ART,2020-03-08,1
LA,BDL,2020-03-23,2
LA,BDL,2020-03-29,1
LA,BUF,2020-03-16,1
LA,EWR,2020-03-07,1
LA,EWR,2020-03-12,3
LA,EWR,2020-03-13,2
LA,EWR,2020-03-15,1
LA,EWR,2020-03-17,1
LA,EWR,2020-03-23,4
LA,EWR,2020-03-24,2
LA,EWR,2020-03-26,3
LA,EWR,2020-03-27,3
LA,EWR,2020-03-28,3
LA,JFK,2020-03-10,3
LA,JFK,2020-03-13,3
LA,JFK,2020-03-18,5
LA,JFK,2020-03-20,3
LA,JFK,2020-03-22,2
LA,JFK,2020-03-24,1
LA,JFK,2020-03-25,6
LA,JFK,2020-03-26,1
LA,LGA,2020-03-10,5
LA,LGA,2020-03-11,2
LA,LGA,2020-03-14,3
LA,LGA,2020-03-15,1
LA,LGA,2020-03-23,2
LA,LGA,2020-03-24,10
LA,LGA,2020-03-29,1
LA,ROC,2020-03-07,1
LA,ROC,2020-03-09,2
LA,ROC,2020-03-19,1
LA,SYR,2020-03-11,1
LBN,JFK,2020-03-14,1
LUX,JFK,2020-03-08,1
LUX,JFK,2020-03-17,1
MA,ACY,2020-03-12,2
MA,ACY,2020-03-16,1
MA,BDL,2020-03-23,1
MA,BDR,2020-03-18,1
MA,BLM,2020-03-13,2
MA,BLM,2020-03-15,1
MA,BUF,2020-03-12,1
MA,BUF,2020-03-26,1
MA,BUF,2020-03-28,1
MA,CDW,2020-03-21,1
MA,EWR,2020-03-02,1
MA,EWR,2020-03-07,1
MA,EWR,2020-03-14,2
MA,EWR,2020-03-15,5
MA,EWR,2020-03-16,3
MA,EWR,2020-03-17,1
MA,EWR,2020-03-19,7
MA,EWR,2020-03-25,2
MA,EWR,2020-03-28,1
MA,EWR,2020-03-30,3
MA,FOK,2020-03-21,1
MA,FOK,2020-03-25,1
MA,FOK,2020-03-31,1
MA,FRG,2020-03-15,1
MA,FRG,2020-03-16,1
MA,FRG,2020-03-17,4
MA,FRG,2020-03-22,2
MA,FRG,2020-03-26,1
MA,FRG,2020-03-31,2
MA,HCC,2020-03-14,1
MA,HCC,2020-03-15,1
MA,HFD,2020-03-17,1
MA,HFD,2020-03-21,1
MA,HTO,2020-03-08,1
MA,HTO,2020-03-20,1
MA,HTO,2020-03-26,1
MA,JFK,2020-03-06,1
MA,JFK,2020-03-13,2
MA,JFK,2020-03-15,1
MA,JFK,2020-03-17,1
MA,JFK,2020-03-20,4
MA,JFK,2020-03-23,5
MA,JFK,2020-03-27,2
MA,LGA,2020-03-05,1
MA,LGA,2020-03-07,1
MA,LGA,2020-03-08,3
MA,LGA,2020-03-13,1
MA,LGA,2020-03-16,24
MA,LGA,2020-03-17,10
MA,LGA,2020-03-18,1
MA,LGA,2020-03-24,5
MA,LGA,2020-03-25,2
MA,LGA,2020-03-31,2
MA,MTP,2020-03-09,1
MA,MTP,2020-03-17,1
MA,OGS,2020-03-23,1
MA,PCT,2020-03-24,1
MA,RME,2020-03-25,2
MA,ROC,2020-03-14,1
MA,ROC,2020-03-21,1
MA,ROC,2020-03-24,1
MA,SLK,2020-03-14,1
MA,SYR,2020-03-11,1
MA,TEB,2020-03-20,2
MA,TEB,2020-03-23,7
MA,TEB,2020-03-27,1
MA,WWD,2020-03-09,1
MA,WWD,2020-03-17,1
MD,ALB,2020-03-14,1
MD,ALB,2020-03-27,1
MD,BDL,2020-03-13,1
MD,BDL,2020-03-16,3
MD,BDL,2020-03-26,2
MD,BUF,2020-03-10,1
MD,BUF,2020-03-21,2
MD,BUF,2020-03-22,1
MD,BUF,2020-03-25,2
MD,BUF,2020-03-28,1
MD,DXR,2020-03-14,1
MD,ROC,2020-03-15,1
MD,TEB,2020-03-19,1
ME,HTO,2020-03-07,1
ME,HTO,2020-03-15,1
ME,JFK,2020-03-12,1
ME,LGA,2020-03-25,1
ME,TEB,2020-03-06,1
MI,ALB,2020-03-15,1
MI,BDL,2020-03-19,1
MI,EWR,2020-03-12,2
MI,EWR,2020-03-20,1
MI,EWR,2020-03-23,1
MI,EWR,2020-03-25,1
MI,EWR,2020-03-27,1
MI,HPN,2020-03-13,1
MI,HPN,2020-03-15,1
MI,ITH,2020-03-15,1
MI,LGA,2020-03-09,1
MI,LGA,2020-03-13,2
MI,LGA,2020-03-15,4
MI,LGA,2020-03-18,4
MI,LGA,2020-03-19,17
MI,LGA,2020-03-20,1
MI,LGA,2020-03-23,5
MI,LGA,2020-03-27,2
MI,LGA,2020-03-28,1
MI,LGA,2020-03-31,1
MI,SYR,2020-03-14,1
MN,BDL,2020-03-11,1
MN,EWR,2020-03-10,1
MN,EWR,2020-03-17,1
MN,JFK,2020-03-06,1
MN,LGA,2020-03-08,1
MN,LGA,2020-03-16,1
MN,SYR,2020-03-15,1
MO,EWR,2020-03-12,1
MO,EWR,2020-03-16,3
MO,EWR,2020-03-28,1
MO,LGA,2020-03-12,2
MO,LGA,2020-03-15,1
MO,LGA,2020-03-20,2
MO,LGA,2020-03-22,1
MO,LGA,2020-03-24,2
MO,LGA,2020-03-28,2
MO,ROC,2020-03-17,1
MT,LGA,2020-03-15,1
NC,EWR,2020-03-13,2
NC,EWR,2020-03-17,3
NC,EWR,2020-03-18,1
NC,EWR,2020-03-24,1
NC,HPN,2020-03-21,1
NC,JFK,2020-03-11,1
NC,LGA,2020-03-09,1
NC,LGA,2020-03-13,1
NC,LGA,2020-03-17,1
NC,LGA,2020-03-23,2
NC,LGA,2020-03-25,1
NC,LGA,2020-03-29,1
NC,ROC,2020-03-17,1
NH,EWR,2020-03-10,1
NH,FRG,2020-03-15,1
NH,ROC,2020-03-12,1
NH,TEB,2020-03-06,1
